"Time [s]","Committed size","Free size","Used size"
223.81,5234688000,3379200000,1855488000
224.81,5234688000,3063808000,2170880000
225.81,5234688000,2717696000,2516992000
226.81,5234688000,2404352000,2830336000
227.81,5234688000,2052096000,3182592000
228.81,5234688000,1744896000,3489792000
229.81,5234688000,1396736000,3837952000
230.82,5234688000,1093632000,4141056000
231.82,5234688000,788480000,4446208000
232.82,5234688000,454656000,4780032000
233.82,5234688000,3610624000,1624064000
234.82,5234688000,3303424000,1931264000
235.82,5234688000,2975744000,2258944000
236.82,5234688000,2600960000,2633728000
237.82,5234688000,2246656000,2988032000
238.82,5234688000,1841152000,3393536000
239.82,5234688000,1462272000,3772416000
240.82,5234688000,1081344000,4153344000
241.82,5234688000,638976000,4595712000
242.82,5234688000,3684352000,1550336000
243.83,5234688000,3248128000,1986560000
244.83,5234688000,2797568000,2437120000
245.83,5234688000,2332672000,2902016000
246.83,5234688000,1890304000,3344384000
247.83,5234688000,1413120000,3821568000
248.83,5234688000,954368000,4280320000
249.83,5234688000,495616000,4739072000
250.83,5234688000,3461120000,1773568000
251.83,5234688000,3006464000,2228224000
252.83,5234688000,2525184000,2709504000
253.83,5234688000,2054144000,3180544000
254.83,5234688000,1607680000,3627008000
255.83,5234688000,1144832000,4089856000
256.83,5234688000,714752000,4519936000
257.83,5242880000,3688448000,1554432000
258.83,5242880000,3246080000,1996800000
259.84,5242880000,2816000000,2426880000
260.84,5242880000,2371584000,2871296000
261.84,5242880000,1972224000,3270656000
262.84,5242880000,1525760000,3717120000
263.84,5242880000,1124352000,4118528000
264.84,5242880000,692224000,4550656000
265.84,5242880000,305152000,4937728000
266.84,5242880000,3350528000,1892352000
267.84,5242880000,2965504000,2277376000
268.84,5242880000,2547712000,2695168000
269.84,5242880000,2162688000,3080192000
270.84,5242880000,1755136000,3487744000
271.84,5242880000,1388544000,3854336000
272.84,5242880000,991232000,4251648000
273.84,5242880000,647168000,4595712000
274.85,5242880000,212992000,5029888000
275.85,5242880000,3354624000,1888256000
276.85,5242880000,3041280000,2201600000
277.85,5242880000,2691072000,2551808000
278.85,5242880000,2394112000,2848768000
279.85,5242880000,2060288000,3182592000
280.85,5242880000,1769472000,3473408000
281.85,5242880000,1454080000,3788800000
282.85,5242880000,1155072000,4087808000
283.85,5242880000,841728000,4401152000
284.85,5242880000,544768000,4698112000
285.85,5242880000,3702784000,1540096000
286.85,5242880000,3373056000,1869824000
287.86,5242880000,3094528000,2148352000
288.86,5242880000,2779136000,2463744000
289.86,5242880000,2498560000,2744320000
290.86,5242880000,2203648000,3039232000
291.86,5242880000,1927168000,3315712000
292.86,5242880000,1628160000,3614720000
293.86,5242880000,1363968000,3878912000
294.86,5242880000,1062912000,4179968000
295.86,5242880000,788480000,4454400000
296.86,5242880000,503808000,4739072000
297.86,5242880000,3639296000,1603584000
298.86,5242880000,3358720000,1884160000
299.86,5242880000,3041280000,2201600000
300.86,5242880000,2754560000,2488320000
301.86,5242880000,2465792000,2777088000
302.87,5242880000,2140160000,3102720000
303.87,5242880000,1839104000,3403776000
304.87,5242880000,1507328000,3735552000
305.87,5242880000,1193984000,4048896000
306.87,5242880000,839680000,4403200000
307.87,5242880000,509952000,4732928000
308.87,5242880000,3614720000,1628160000
309.87,5242880000,3270656000,1972224000
310.87,5242880000,2887680000,2355200000
311.87,5242880000,2502656000,2740224000
312.87,5242880000,2150400000,3092480000
313.87,5242880000,1744896000,3497984000
314.87,5242880000,1368064000,3874816000
315.87,5242880000,946176000,4296704000
316.87,5242880000,557056000,4685824000
317.88,5242880000,3530752000,1712128000
318.88,5242880000,3121152000,2121728000
319.88,5242880000,2680832000,2562048000
320.88,5242880000,2263040000,2979840000
321.88,5242880000,1851392000,3391488000
322.88,5242880000,1406976000,3835904000
323.88,5242880000,985088000,4257792000
324.88,5242880000,534528000,4708352000
325.88,5242880000,3436544000,1806336000
326.88,5242880000,3008512000,2234368000
327.88,5242880000,2566144000,2676736000
328.88,5242880000,2095104000,3147776000
329.88,5242880000,1652736000,3590144000
330.88,5242880000,1177600000,4065280000
331.88,5242880000,743424000,4499456000
332.89,5242880000,294912000,4947968000
333.89,5242880000,3215360000,2027520000
334.89,5242880000,2775040000,2467840000
335.89,5242880000,2295808000,2947072000
336.89,5242880000,1861632000,3381248000
337.89,5242880000,1380352000,3862528000
338.89,5242880000,927744000,4315136000
339.89,5242880000,493568000,4749312000
340.89,5242880000,3364864000,1878016000
341.89,5242880000,2928640000,2314240000
342.89,5242880000,2486272000,2756608000
343.89,5242880000,2072576000,3170304000
344.89,5242880000,1683456000,3559424000
345.89,5242880000,1275904000,3966976000
346.89,5242880000,915456000,4327424000
347.89,5242880000,532480000,4710400000
348.89,5242880000,3540992000,1701888000
349.89,5242880000,3209216000,2033664000
350.89,5242880000,2867200000,2375680000
351.9,5242880000,2514944000,2727936000
352.9,5242880000,2193408000,3049472000
353.9,5242880000,1824768000,3418112000
354.9,5242880000,1501184000,3741696000
355.9,5242880000,1150976000,4091904000
356.9,5242880000,821248000,4421632000
357.9,5242880000,475136000,4767744000
358.9,5242880000,3487744000,1755136000
359.9,5242880000,3160064000,2082816000
360.9,5242880000,2832384000,2410496000
361.9,5242880000,2476032000,2766848000
362.9,5242880000,2156544000,3086336000
363.91,5242880000,1810432000,3432448000
364.91,5242880000,1492992000,3749888000
365.91,5242880000,1140736000,4102144000
366.91,5242880000,825344000,4417536000
367.91,5242880000,507904000,4734976000
368.91,5242880000,3452928000,1789952000
369.91,5242880000,3147776000,2095104000
370.91,5242880000,2838528000,2404352000
371.91,5242880000,2500608000,2742272000
372.91,5242880000,2187264000,3055616000
373.92,5242880000,1835008000,3407872000
374.92,5242880000,1540096000,3702784000
375.92,5242880000,1234944000,4007936000
376.92,5242880000,890880000,4352000000
377.92,5242880000,587776000,4655104000
378.92,5242880000,3549184000,1693696000
379.92,5242880000,3229696000,2013184000
380.92,5242880000,2908160000,2334720000
381.92,5242880000,2545664000,2697216000
382.92,5242880000,2203648000,3039232000
383.92,5242880000,1814528000,3428352000
384.92,5242880000,1433600000,3809280000
385.92,5242880000,1054720000,4188160000
386.92,5242880000,3426304000,1816576000
387.92,5242880000,3004416000,2238464000
388.93,5242880000,2560000000,2682880000
389.93,5242880000,2338816000,2904064000
390.93,5242880000,1904640000,3338240000
391.93,5242880000,1425408000,3817472000
392.93,5242880000,972800000,4270080000
393.93,5242880000,514048000,4728832000
394.93,5242880000,3584000000,1658880000
395.93,5242880000,3133440000,2109440000
396.93,5242880000,2635776000,2607104000
397.93,5242880000,2203648000,3039232000
398.93,5242880000,1785856000,3457024000
399.93,5242880000,1306624000,3936256000
400.93,5242880000,890880000,4352000000
401.93,5242880000,438272000,4804608000
402.93,5242880000,3543040000,1699840000
403.93,5242880000,3127296000,2115584000
404.93,5242880000,2684928000,2557952000
405.93,5242880000,2273280000,2969600000
406.94,5242880000,1843200000,3399680000
407.94,5242880000,1456128000,3786752000
408.94,5242880000,1079296000,4163584000
409.94,5242880000,661504000,4581376000
420.66,5242880000,608256000,4634624000
421.66,5242880000,272384000,4970496000
422.66,5242880000,3454976000,1787904000
423.66,5242880000,3084288000,2158592000
424.66,5242880000,2680832000,2562048000
425.66,5242880000,2310144000,2932736000
426.66,5242880000,1929216000,3313664000
427.66,5242880000,1581056000,3661824000
428.66,5242880000,1187840000,4055040000
429.66,5242880000,843776000,4399104000
430.66,5242880000,481280000,4761600000
